"No cart items available", "Нет товаров в корзине"
"Our managers will contact you shortly", "Наши менеджеры свяжутся с Вами в ближайшее время"
"No options", "Нет вариантов"
"The requested qty is not available", "В данный момент в наличии нет запрашиваемого количества товара"
"Comment to the order","Комментарий к заказу"
"Checkout","Оформление заказа"
"Your order","Ваш заказ"
"Required fields are marked with an asterisk *", "Обязательные поля отмечены звездочкой *"
"more", "подробнее"
"Update","Обновить"
"Price", "Цена"
"Qty","Кол-во"
"Product", "Товар"
"(UAH VAT included)", "(грн. с НДС)"
"(items)", "(шт.)"
"Total", "Сумма"
"Here we will send all documents confirming the purchase","Сюда пришлем все документы подтверждающие покупку"
"Email","Электронная почта"
"%1 - required field","%1 - обязательное поле"
"Payment method (required)","Способ оплаты (обязательно)"
"Payment","Оплата"
"Place order","Заказать"
"Filling out contact information","Заполняя контактную информацию"
"You agree with", "Вы соглашаетесь с"
"terms of use", "пользовательским соглашением"
"Shipping address","Контактная информация"
"Name","Имя"
"Lastname","Фамилия"
"Phone (required)","Телефон (обязательно)"
"Our managers will call you back to clarify the details of the order","Наши менеджеры перезвонят для уточнения деталей заказа"
"Require correct number entered","Проверьте правильность введённого номера"
"House","Дом"
"Apartment","Квартира"
"Type city name...", "Введите название города..." 
"City","Населенный пункт"
"Type street name...", "Введите улицу..."
"Street","Улица"
"Type warehouse number or address...", "Введите номер или адрес отделения..."
"Nova Poshta warehouse number","Номер склада Новой Почты"
"Shipping method","Способ доставки"
"Delivery","Доставка"
"Delivery within Ukraine:\u00A0","Доставка по Украине:\u00A0"
"Total:\u00A0","Итого:\u00A0"
"Saving payment method failed","Не удалось сохранить способ оплаты"
"Email is invalid","Электронный адрес указан неверно"
"Please provide your email address.","Пожалуйста, укажите свой адрес электронной почты."
"Please provide a phone number.","Пожалуйста, укажите номер телефона"
"Please select option for payment method", "Пожалуйста, выберите способ оплаты"
"Address update failed. Please try again.","Обновление адреса не удалось. Пожалуйста, попробуйте еще раз."
"Email address update failed. Please try again.","Обновление адреса электронной почты не удалось. Пожалуйста, попробуйте еще раз."
"Your checkout details are not valid. Please verify your details.","Ваши данные для оформления заказа не действительны. Пожалуйста, проверьте свои данные."
"Something went wrong","Что-то пошло не так"
"Shipping address update failed. Please try again","Обновление адреса доставки не удалось. Пожалуйста, попробуйте еще раз"
"Something went wrong while updating shipping method","Что-то пошло не так при обновлении способа доставки"
